repo_fullname,commits_count,commits_days_since_first,commits_days_since_last,commits_total_lines_added,commits_total_lines_removed,commits_avg_added,commits_avg_removed,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_max_per_day,contributors_count,contributors_top_avg_commits,contributors_top_avg_participation_week,contributors_top_avg_additions,contributors_top_avg_deletions,forks_count,forks_avg_per_day,forks_avg_max_per_day,issues_total_comments,issues_count,issues_open,issues_labels,issues_avg_labels,issues_avg_closing_time,issues_avg_comment_time,issues_avg_comments,issues_avg_comment_length,issues_avg_title_length,issues_avg_body_length,issues_avg_per_day,issues_avg_per_day_real,issues_max_per_day,repo_size,repo_topics,repo_branches,repo_age_days,repo_workflows,repo_languages,repo_milestones,repo_watchers,repo_deployments,repo_readme_length,repo_network_members,pulls_count,pulls_total_lines_added,pulls_total_lines_removed,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_closing_time,pulls_avg_comments,pulls_avg_review_comments,pulls_avg_Commits,pulls_avg_body_length,pulls_avg_title_length,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_created_per_day,pulls_avg_created_per_day_real,pulls_max_created_per_day,releases_count,releases_tags,releases_total_downloads,releases_avg_body_length,releases_avg_title_length,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,stars_count,stars_avg_per_day_real,stars_max_per_day,wf_count,wf_avg_duration,wf_avg_success_duration,wf_avg_failure_duration,wf_avg_successes_per_day,wf_avg_successes_per_day_real,wf_avg_fails_per_day
Azure/tokio-uds-windows,5,1248,49,658,1,132,0,2,17,3,4,3,1,1,131,0,3,0,1,0,2,1,0,0,0,0,0,0,25,35,0,1,1,9,0,1,1248,0,1,0,6,0,1525,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0
relativitydev/relativity-api-documentation,249,597,2,3309,338,13,1,1,79,3,7,0,0,0,0,0,12,0,1,10,108,1,0,0,0,0,0,78,47,28,0,1,4,178,0,12,597,0,0,0,4,0,241,12,1,19,1,19,1,0,0,0,1,79,31,1,0,0,1,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0
kcaglarr/git-101,98,508,507,693,119,7,1,1,31,49,97,0,0,0,0,0,2,0,2,7,29,0,0,0,0,0,0,15,11,8,0,29,29,55,0,7,508,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
MicrosoftDocs/learn-test-sandbox-2.zh-cn,12,1096,386,695,50,58,4,2,25,3,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,10,0,0,1,1,17,0,2,1096,0,1,0,2,0,373,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
MicrosoftDocs/OPInternalTest,8,1216,124,592,8,74,1,2,59,3,4,2,3,1,82,1,2,0,1,11,3,1,0,0,0,0,3,1100,20,0,0,1,2,15,0,4,1216,0,1,0,2,0,373,2,1,1,3,1,3,0,6,0,1,0,23,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
MicrosoftDocs/office-shared-outlook.ja-jp,2,1496,1495,574,42,287,21,5,107,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,1496,0,1,0,2,0,373,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Azure/AMLPipelines,15,1176,1156,7840,979,523,65,4,17,2,5,3,5,2,522,65,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835,0,1,1176,0,2,0,2,0,2778,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Azure-Samples/key-vault-python-client-side-encryption,16,1651,1156,1707,79,107,5,2,25,4,8,0,0,0,0,0,2,0,1,2,5,2,4,0,0,0,0,85,28,5376,0,1,1,26,0,4,1651,0,1,0,4,0,1038,2,2,2,2,1,1,0,0,0,1,9569,33,1,1,0,1,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0
Azure-Samples/aci-docs-sample-python,25,1414,942,1693,422,68,17,1,38,3,7,5,4,1,52,12,10,0,2,2,6,2,0,0,0,0,0,243,36,256,0,1,1,24,0,2,1414,0,1,0,12,0,2934,10,1,2,2,2,2,0,0,0,1,655,46,1,0,0,1,1,1,1,363,0,63,1,363,8526,12,1,1,0,0,0,0,0,0,0
YonseiESC/ESC-20FALL,211,588,472,697451,160849,3305,762,2,23,8,48,31,5,1,2739,894,20,0,3,0,19,0,0,0,0,0,0,0,14,2,0,2,4,329691,0,1,588,0,3,0,0,0,2745,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spacetelescope/nircam_calib,448,1966,6,758633,467916,1693,1044,4,70,4,38,0,0,0,0,0,13,0,2,50,152,15,38,0,0,0,0,260,35,619,0,1,8,149526,4,2,1968,0,6,0,2,0,1597,13,6,6035,169,1005,28,0,0,0,2,182,34,1,0,0,1,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
MicrosoftDocs/OfficeDocs-Enterprise-pr.it-IT,8,1610,620,5894,94,737,12,43,89,1,2,4,2,1,736,11,1,0,1,2,2,2,0,0,0,0,1,1562,123,29,0,2,2,58139,0,6,1610,0,1,0,3,0,373,1,2,76,72,38,36,0,1,0,1,29,123,1,0,0,1,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
Azure-Samples/hybrid-storage-java-manage-storage-accounts,20,1286,754,7216,112,361,6,2,24,2,7,7,2,1,217,3,2,0,1,0,3,1,1,0,0,0,0,0,33,1503,0,1,1,43,0,2,1286,0,1,0,0,0,1783,2,1,1,1,1,1,0,0,0,1,2550,36,1,1,0,1,1,5,5,297,0,38,0,74,31564,0,0,0,0,0,0,0,0,0,0
microsoftgraph/msgraph-training-phpapp.zh-CN,19,1132,67,14111,1988,743,105,11,23,1,2,0,0,0,0,0,1,0,1,18,23,5,23,1,0,0,0,17,64,9925,0,2,5,1146,0,9,1132,0,0,0,1,0,1532,1,5,3598,2249,719,449,0,0,0,1,9882,65,1,1,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Azure-Samples/functions-dotnet-sas-token,8,2120,1958,815,22,102,3,2,36,3,4,2,2,1,10,0,36,0,2,7,7,5,0,0,0,0,1,89,45,268,0,1,1,8,0,1,2120,0,2,0,35,0,3796,36,2,23,20,11,10,0,1,0,1,159,49,1,0,0,1,1,0,0,0,0,0,0,0,0,35,1,2,0,0,0,0,0,0,0
MicrosoftDocs/office-365-management-api.ru-RU,122,1264,19,6994,2614,57,21,2,27,1,4,0,0,0,0,0,1,0,1,2,2,2,0,0,0,0,1,1565,123,29,0,2,2,6172,0,6,1264,0,1,0,2,0,2280,1,2,9,6,4,3,0,1,0,1,29,123,1,0,0,1,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Azure/azure-kusto-spark,332,1244,21,36952,20272,111,61,6,96,2,17,15,15,7,94,58,23,0,2,164,234,18,17,0,0,0,0,315,39,698,0,1,4,12731,4,17,1189,0,1,0,58,0,7081,24,5,1224,15,244,3,0,0,3,3,403,40,2,0,0,1,1,66,66,421,178,9,0,13,13835713,58,1,2,0,0,0,0,0,0,0
Azure/cyclecloud-blender,17,1351,515,1129,24,66,1,3,71,2,5,5,3,1,74,1,4,0,1,0,2,0,0,0,0,0,0,0,23,254,0,1,1,54,0,3,1351,0,2,0,1,0,5601,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,292,0,15,1,292,143200446,1,1,1,0,0,0,0,0,0,0
MicrosoftDocs/OfficeDocs-AppCompliance,52,1091,656,62390,31129,1200,599,49,48,5,19,5,7,2,1055,766,4,0,1,1,2,0,1,0,0,0,0,140,24,15,0,1,1,582,3,1,1072,0,1,0,4,0,2082,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0
Azure-Samples/functions-first-serverless-web-application,18,1562,1296,22333,4128,1241,229,5,77,2,5,3,6,2,2258,1247,47,0,2,4,16,7,0,0,0,0,0,65,44,212,0,1,2,659,0,2,1559,0,3,0,36,0,443,48,3,5,5,1,1,0,0,0,1,59,32,1,0,0,1,1,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0
Azure-Samples/vsts-sf-devops,138,1456,1422,167830,116480,1216,844,10,32,7,27,4,21,2,2838,2361,7,0,2,0,24,0,0,0,0,0,0,0,18,667,0,3,12,1142,0,4,1456,0,7,0,4,0,995,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0
MicrosoftDocs/IntuneDocs.zh-tw,2887,2237,749,3838374,3452701,1330,1196,13,52,3,28,22,111,11,1140,1137,6,0,2,23,21,0,5,0,0,0,1,81,22,4,0,1,1,70868,0,4,2127,0,1,0,3,0,4169,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
crate/crate_ruby,68,2925,453,4757,2896,70,43,4,76,2,9,12,4,2,68,46,8,0,1,46,33,3,2,0,0,0,1,110,30,172,0,1,3,129,1,2,2945,1,2,0,32,0,2935,8,2,299,130,149,65,0,0,0,7,554,30,11,0,0,1,1,0,0,0,0,0,0,0,0,32,1,8,2,0.0137789351851852,0.0128530092592593,0.000925925925925926,0,3,0
Microsoft/vscode-json-languageservice,561,2119,25,55342,33962,99,61,3,41,2,13,25,20,6,98,57,78,0,3,339,129,27,43,0,0,0,2,270,45,711,0,1,5,1763,0,2,2119,0,2,4,162,0,3431,81,2,184,46,92,23,0,0,0,2,335,58,2,0,0,1,1,0,0,0,0,0,0,0,0,162,1,3,0,0,0,0,0,0,0
Azure-Samples/active-directory-dotnet-resource-manager-authorization,7,2178,1097,66,10,9,1,1,35,2,4,2,2,1,11,2,4,0,1,5,0,0,0,0,0,0,0,136,0,0,0,0,0,3,0,1,2178,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure-Samples/docker-django-webapp-linux,37,1700,488,71464,163,1931,4,5,39,3,6,9,2,1,2745,4,100,0,2,11,0,0,0,0,0,0,0,357,0,0,0,0,0,1255,0,1,1700,0,6,0,41,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,2,0,0,0,0,0,0,0
PredixDev/predix-bdd-cucumber,6,2259,2255,2441,12,407,2,7,25,2,3,2,3,1,406,2,6,0,1,1,0,0,0,0,0,0,0,289,0,0,0,0,0,456,0,1,2259,0,2,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,9,0,0,0,0,0,0,0
